RT (mins),RI of Sample A,RI of Sample B
21.95,0,0.035041473
21.96666667,0,0.092047759
21.98333333,0,0.092047759
22,0,0.082464132
22.01666667,0,0.179143272
22.03333333,0,0.164433246
22.05,0,0.520511815
22.06666667,0,0.684329631
22.08333333,0,0.872561511
22.1,0,1.062319269
22.11666667,0,1.085756217
22.13333333,0,1.113770802
22.15,0,1.323364988
22.16666667,0,1.452087587
22.18333333,0,1.567077275
22.2,0,1.624083561
22.21666667,0,1.902342301
22.23333333,0,2.35149949
22.25,0,2.591611255
22.26666667,0,2.956845099
22.28333333,0,3.193905106
22.3,0,3.484370879
22.31666667,0,3.643611058
22.33333333,0,3.833368817
22.35,0,4.15282629
22.36666667,0,4.594354083
22.38333333,0,4.704766134
22.4,0,4.841118128
22.41666667,0,5.233817794
22.43333333,0,5.713492562
22.45,0,6.028372398
22.46666667,0,6.491262497
22.48333333,0,7.179982688
22.5,0,7.841237057
22.51666667,0,8.409412807
22.53333333,0,8.803638352
22.55,0,9.110888793
22.56666667,0,9.898791119
22.58333333,0,10.64854647
22.6,0,11.51426862
22.61666667,0,12.35862847
22.63333333,0,13.04124515
22.65,0,13.55754101
22.66666667,0,14.23710593
22.68333333,0,15.06162935
22.7,0,15.89988568
22.71666667,0,16.61759757
22.73333333,0,17.33530947
22.75,0,18.06980603
22.76666667,0,18.83024253
22.78333333,0,19.57694612
22.8,0,20.29923565
22.81666667,0,21.00931815
22.83333333,0,22.09934452
22.85,0,23.28702714
22.86666667,0,24.19699978
22.88333333,0,25.20157693
22.9,0,26.41977713
22.91666667,0,27.75394414
22.93333333,0,29.05911944
22.95,0,30.21170685
22.96666667,0,31.36887189
22.98333333,0,32.55350276
23,0,33.90140267
23.01666667,0,34.96701498
23.03333333,0,36.11960238
23.05,0,37.2935521
23.06666667,0,38.48428648
23.08333333,0,39.77115123
23.1,0,41.41659756
23.11666667,0,42.58139199
23.13333333,0,43.83010978
23.15,0,45.11087102
23.16666667,0,46.51370258
23.18333333,0,47.93179293
23.2,0,49.21102829
23.21666667,0,50.58944579
23.23333333,0,52.03195021
23.25,0,53.51870511
23.26666667,0,54.83456157
23.28333333,0,56.24349665
23.3,0,57.67989755
23.31666667,0,58.93471885
23.33333333,0,60.41384436
23.35,0,61.70681263
23.36666667,0,63.02877261
23.38333333,0,64.58724383
23.4,0,65.91835908
23.41666667,0,67.27083663
23.43333333,0.160524435,68.56990842
23.45,0.173051523,69.83083324
23.46666667,0.186494138,70.97273949
23.48333333,0.203446275,72.41829566
23.5,0.189575657,73.9096282
23.51666667,0.188064658,75.30330449
23.53333333,0.224395458,76.67256672
23.55,0.241042419,78.2264603
23.56666667,0.247008228,79.76967273
23.58333333,0.275557045,80.9970282
23.6,0.304868802,82.25795302
23.61666667,0.32899257,83.66993985
23.63333333,0.353116339,84.90034709
23.65,0.379528925,86.28181635
23.66666667,0.406246688,87.87996042
23.68333333,0.403362398,89.07679832
23.7,0.451595054,90.48268163
23.71666667,0.484874097,91.90382374
23.73333333,0.530970523,93.30512943
23.75,0.558451225,94.80256549
23.76666667,0.615991743,96.3030533
23.78333333,0.697335974,97.67078965
23.8,0.772424101,98.91340391
23.81666667,0.847969991,100.0965089
23.83333333,0.939537611,101.6168331
23.85,1.052772713,102.9296378
23.86666667,1.162650881,104.2973742
23.88333333,1.26520483,105.7276716
23.9,1.399344474,106.9351906
23.91666667,1.537756579,108.226633
23.93333333,1.63649583,109.5134978
23.95,1.772313941,110.5134973
23.96666667,1.937123753,111.7240681
23.98333333,2.119023409,112.8278274
24,2.307026582,113.9178537
24.01666667,2.521580049,114.8934392
24.03333333,2.731403292,115.6599792
24.05,2.964267307,116.429571
24.06666667,3.22124021,117.3883717
24.08333333,3.478060525,118.4890793
24.1,3.760057844,119.2693522
24.11666667,4.063722645,119.9657018
24.13333333,4.391648921,120.9031403
24.15,4.783662116,121.7047755
24.16666667,5.146073258,122.5140401
24.18333333,5.511993922,123.0654312
24.2,5.932998817,123.5679942
24.21666667,6.397186088,124.4794927
24.23333333,6.856643134,125.1849975
24.25,7.354857507,125.8142084
24.26666667,7.882673932,126.4342641
24.28333333,8.445738163,127.0863632
24.3,9.041913967,127.8910502
24.31666667,9.656705495,128.6118138
24.33333333,10.32459761,129.3096893
24.35,11.04238597,130.0609705
24.36666667,11.80884987,130.8320882
24.38333333,12.58874151,131.626094
24.4,13.40113437,132.3254954
24.41666667,14.27639344,133.1362859
24.43333333,15.18751067,134.0493103
24.45,16.13967404,134.8433161
24.46666667,17.13807155,135.8295827
24.48333333,18.19948786,136.9302902
24.5,19.30607019,137.8707805
24.51666667,20.44133905,138.8982458
24.53333333,21.60743066,139.9302888
24.55,22.81258477,140.8616237
24.56666667,24.07648522,141.5320333
24.58333333,25.40096307,142.3245133
24.6,26.77411646,143.057484
24.61666667,28.20662654,144.0910528
24.63333333,29.66446622,145.1856568
24.65,31.20256713,146.0361202
24.66666667,32.77316926,146.7599356
24.68333333,34.39626163,147.4806993
24.7,36.04804052,148.3693096
24.71666667,37.76680551,148.9603735
24.73333333,39.51990277,149.3790131
24.75,41.33952835,149.8846279
24.76666667,43.1936388,150.5031576
24.78333333,45.11351463,151.1415238
24.8,47.05231137,151.7570018
24.81666667,49.0416147,152.3129705
24.83333333,51.07745733,152.8567322
24.85,53.14274944,153.3669245
24.86666667,55.25625932,153.8465993
24.88333333,57.40730582,154.3293258
24.9,59.58917508,154.5160318
24.91666667,61.78615054,154.6539097
24.93333333,63.99914773,155.0374541
24.95,66.27028091,155.263833
24.96666667,68.55377371,155.450539
24.98333333,70.86549527,155.6769178
25,73.19720584,155.7583382
25.01666667,75.56630045,155.8260256
25.03333333,77.93508989,155.9272824
25.05,80.29975945,155.9324088
25.06666667,82.68930084,155.8963364
25.08333333,85.09150703,155.9197734
25.1,87.47799666,155.9767797
25.11666667,89.85258443,155.8964569
25.13333333,92.25280698,155.6635461
25.15,94.64662083,155.4947223
25.16666667,97.05370983,155.0054639
25.18333333,99.4812456,154.8946235
